Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;Replication;Richness_T;Richness_C_RA;Richness_R_RA;Richness_C_Fuzzy_I;Richness_C_Fuzzy_II;Richness_R_Fuzzy_I;Richness_R_Fuzzy_II
1;Riffle;Presence;Rough;RifflePresence;PresenceRough;A1;20;14;6;15;12;5;8
1;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B1;18;9;9;11;8;7;10
1;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C1;24;16;8;15;14;8;9
1;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D1;25;16;9;15;13;10;12
1;Pool;Presence;Rough;PoolPresence;PresenceRough;E1;21;15;6;15;14;6;7
1;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F1;19;13;6;13;12;5;6
1;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G1;23;15;8;19;14;4;9
1;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H1;25;17;8;18;16;6;8
2;Riffle;Presence;Rough;RifflePresence;PresenceRough;A2;19;11;8;13;10;5;8
2;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B2;18;15;3;16;14;2;4
2;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C2;13;10;3;10;9;3;4
2;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D2;7;6;1;5;5;2;2
2;Pool;Presence;Rough;PoolPresence;PresenceRough;E2;34;19;15;22;18;11;15
2;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F2;20;15;5;17;15;3;5
2;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G2;26;15;11;17;14;9;12
2;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H2;19;14;5;15;13;3;5
3;Riffle;Presence;Rough;RifflePresence;PresenceRough;A3;18;14;4;13;12;5;6
3;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B3;15;11;4;8;8;7;7
3;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C3;22;16;6;15;13;7;9
3;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D3;20;14;6;12;11;8;9
3;Pool;Presence;Rough;PoolPresence;PresenceRough;E3;24;16;8;18;15;6;9
3;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F3;16;13;3;15;13;1;3
3;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G3;24;15;9;18;15;6;9
3;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H3;21;14;7;16;14;5;7
4;Riffle;Presence;Rough;RifflePresence;PresenceRough;A4;17;11;6;12;11;5;6
4;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B4;14;12;2;11;10;3;4
4;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C4;22;16;6;16;15;6;7
4;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D4;11;8;3;7;7;4;4
4;Pool;Presence;Rough;PoolPresence;PresenceRough;E4;31;17;14;17;16;14;15
4;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F4;24;14;10;14;13;9;10
4;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G4;28;15;13;17;14;10;13
4;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H4;33;16;17;21;16;12;17
5;Riffle;Presence;Rough;RifflePresence;PresenceRough;A5;30;14;16;16;12;14;18
5;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B5;19;13;6;14;13;5;6
5;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C5;24;17;7;17;14;6;9
5;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D5;19;16;3;17;15;1;3
5;Pool;Presence;Rough;PoolPresence;PresenceRough;E5;21;15;6;15;14;6;7
5;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F5;11;9;2;9;9;2;2
5;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G5;22;16;6;18;16;4;6
5;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H5;17;14;3;13;12;3;4
