Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;M_G_S;Replication;Richness_T;Richness_C_RA;Richness_R_RA;Richness_C_Fuzzy_I;Richness_C_Fuzzy_II;Richness_R_Fuzzy_I;Richness_R_Fuzzy_II;ACS1;ACS2;ACS3;ADMI;ADRO;APUS;BBRE;CPLA;CAMB;CBNA;DOVA;ENEO;EVUL;EMIN.1;EPER;ESIL;ENS1;ENS2;ENS3;EOS1;EBID;EBIL;EPIT;EPAR;ESUD;EINC;EINT;EMAJ;EMER;EMIN.2;EPYR;ERAB;EUS1;EUS2;EUS3;EUS4;EVEN;FCAP;FGRA;FVAU;FMES;FRS1;FJAV;FCRA;GELA;GPTF;GBRA;GAFF;GANG;GLUJ;GGRA;GHAW;GLAG;GPAR;GPSE;GPUM;GOS1;HAMP;HUCO;LEHU;LCOS;LGEO;LSIM;LUS1;MCIR;NANG;NCRY;NESC;NSP1;NAS2;NAMP;NCLA;NPAL;NIS1;NTER;NPRA;PACO;PBOR;PDIV;PPER;PIS1;PIS2;PIS3;PSUB.1;PVIR;PWIT;POVI;PLS1;PLS2;PSUB.2;RGIB;SREC;SDEN;SANC;SPHO;STEN;SPLA;SANG;SSPL;ULNA
1;Riffle;Presence;Rough;RifflePresence;PresenceRough;RifflePresenceRough;A1;20;14;6;15;12;5;8;0;0;0;121;1;0;0;189;0;0;0;0;4;19;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;29;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;114;0;0;1;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0
3;Riffle;Presence;Rough;RifflePresence;PresenceRough;RifflePresenceRough;A2;19;11;8;14;10;5;9;0;0;0;58;0;0;0;344;0;0;0;0;1;3;0;1;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;9;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0
5;Riffle;Presence;Rough;RifflePresence;PresenceRough;RifflePresenceRough;A3;18;14;4;13;12;5;6;4;0;0;80;0;0;0;282;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0;1;0;0;0;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
7;Riffle;Presence;Rough;RifflePresence;PresenceRough;RifflePresenceRough;A4;17;11;6;12;11;5;6;0;0;0;55;0;0;0;279;0;0;0;0;5;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;8;1;0;0;0;0;0;1;0;19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;119;0;1;0;0;0;0;0;0;1;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
9;Riffle;Presence;Rough;RifflePresence;PresenceRough;RifflePresenceRough;A5;30;14;16;16;12;14;18;2;0;0;103;5;0;0;240;0;1;0;0;3;34;1;2;1;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;1;17;0;3;1;0;0;2;0;0;1;0;1;0;0;1;0;22;0;5;0;0;4;0;0;0;0;0;0;5;34;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
1;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;RifflePresenceSmooth;B1;18;9;9;11;8;7;10;1;0;0;75;0;0;0;127;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;30;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;237;0;1;0;0;1;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
3;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;RifflePresenceSmooth;B2;18;15;3;16;12;2;6;0;0;2;50;0;0;0;217;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;32;0;2;0;0;0;0;0;0;0;1;0;0;4;0;0;170;0;5;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;RifflePresenceSmooth;B3;15;11;4;8;7;7;8;0;0;0;29;0;0;0;57;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;3;0;17;0;0;332;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
7;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;RifflePresenceSmooth;B4;14;12;2;11;9;3;5;0;0;0;20;0;0;0;102;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;247;33;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;1;0;0;0;0;0;0;0
9;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;RifflePresenceSmooth;B5;19;13;6;14;12;5;7;0;0;2;25;0;0;0;408;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;4;0;0;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;9;18;0;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
