Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;Replication;ADMI;CPLA;EMIN;EVUL;EINC;EMER;EPER;FCAP;FCRA;GPAR;GLAG;GPUM;NANG;NCRY;NAMP;NPRA;PSUB_2;ULNA;HUCO;ESIL;SANG;FVAU;EMIN.2;EINT;ACS3;GPSE
1;Riffle;Presence;Rough;RifflePresence;PresenceRough;A1;121;189;19;4;1;1;0;29;0;114;0;0;1;5;1;3;0;0;0;1;0;2;0;1;0;0
3;Riffle;Presence;Rough;RifflePresence;PresenceRough;A2;58;344;3;1;0;2;0;1;0;62;0;9;0;3;1;0;5;0;0;1;0;1;0;1;0;0
5;Riffle;Presence;Rough;RifflePresence;PresenceRough;A3;80;282;4;2;3;4;1;13;0;93;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;0
7;Riffle;Presence;Rough;RifflePresence;PresenceRough;A4;55;279;1;5;0;8;2;19;0;119;0;1;0;4;1;0;0;0;0;0;0;0;1;0;0;0
9;Riffle;Presence;Rough;RifflePresence;PresenceRough;A5;103;240;34;3;2;0;1;17;2;22;0;5;5;34;0;0;0;0;4;2;0;3;0;2;0;0
1;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B1;75;127;0;0;0;0;2;30;0;237;0;1;0;5;2;0;0;0;1;0;0;2;0;1;0;0
3;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B2;50;217;2;0;1;2;2;32;0;170;0;5;2;4;0;2;0;1;0;1;0;2;0;0;2;0
5;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B3;29;57;0;0;0;0;1;50;0;332;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0
7;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B4;20;102;1;1;0;0;0;14;0;247;0;3;0;3;1;0;0;0;0;0;0;1;0;0;0;33
9;Riffle;Presence;Smooth;RifflePresence;PresenceSmooth;B5;25;408;0;0;9;0;2;6;3;18;9;1;3;2;0;2;0;0;0;1;0;0;0;0;2;0
